,Author,Title
46,Tom Petty,Free Fallin'
47,Tom Petty,Don’t Come Around Here No More
48,Tom Petty,Refugee
49,Tom Petty,American Girl
0,The Smiths,“Accept Yourself” (1983)
1,The Smiths,“Barbarism Begins at Home” (1985)
2,The Smiths,“Paint a Vulgar Picture” (1987)
3,The Smiths,“Meat Is Murder” (1985)
4,The Smiths,“Work Is a Four-Letter Word” (1987)
5,The Smiths,“I Keep Mine Hidden” (1987)
6,The Smiths,“Golden Lights” (1986)
7,The Smiths,“Back to the Old House” (1984)
8,The Smiths,“Death at One’s Elbow” (1987)
9,The Smiths,“Money Changes Everything” (1986)
10,The Smiths,“Well I Wonder” (1985)
11,The Smiths,“The Draize Train” (1986)
12,The Smiths,“What’s the World” (1985)
13,The Smiths,“Oscillate Wildly” (1985)
14,The Smiths,“Girl Afraid” (1984)
15,The Smiths,“Jeane” (1983)
16,The Smiths,“Asleep” (1985)
17,The Smiths,“Wonderful Woman” (1983)
18,The Smiths,“Suffer Little Children” (1984)
19,The Smiths,“I Won’t Share You” (1987)
20,The Smiths,“Miserable Lie” (1984)
21,The Smiths,“Rusholme Ruffians” (1985)
22,The Smiths,“This Night Has Opened My Eyes” (1985)
23,The Smiths,“I Don’t Owe You Anything” (1984)
24,The Smiths,“Vicar in a Tutu” (1986)
25,The Smiths,“Sweet and Tender Hooligan” (1987)
26,The Smiths,“These Things Take Time” (1984)
27,The Smiths,“The Hand That Rocks the Cradle” (1984)
28,The Smiths,“Unhappy Birthday” (1987)
29,The Smiths,“Nowhere Fast” (1985)
30,The Smiths,“Pretty Girls Make Graves” (1984)
31,The Smiths,“I Started Something I Couldn’t Finish” (1987)
32,The Smiths,“Never Had No One Ever” (1986)
33,The Smiths,“Rubber Ring” (1985)
34,The Smiths,“The Headmaster Ritual” (1985)
35,The Smiths,“London” (1986)
36,The Smiths,“That Joke Isn’t Funny Anymore” (1985)
37,The Smiths,“A Rush and a Push and the Land Is Ours” (1987)
38,The Smiths,“I Want the One I Can’t Have” (1985)
39,The Smiths,“Girlfriend in a Coma” (1987)
40,The Smiths,“Sheila Take a Bow” (1987)
41,The Smiths,“Frankly Mr. Shankly” (1986)
42,The Smiths,“What She Said” (1985)
43,The Smiths,“Is It Really So Strange?” (1986)
44,The Smiths,“Unloveable” (1986)
45,The Smiths,“The Boy With the Thorn in His Side” (1985)
46,The Smiths,“You’ve Got Everything Now” (1984)
47,The Smiths,“Shakespeare’s Sister” (1985)
48,The Smiths,“What Difference Does It Make?” (1984)
49,The Smiths,“Shoplifters of the World Unite” (1987)
0,U2,40
1,U2,Numb
2,U2,Acrobat
3,U2,North and South of the River
4,U2,Sweetest Thing
5,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"
6,U2,No Line on the Horizon
7,U2,Lemon
8,U2,In a Little While
9,U2,Volcano
10,U2,Love Is Blindness
11,U2,Luminous Times (Hold On to Love)
12,U2,The Electric Co.
13,U2,Drowning Man
14,U2,Desire
15,U2,Until the End of the World
16,U2,Gone
17,U2,Stuck in a Moment You Can’t Get Out Of
18,U2,City of Blinding Lights
19,U2,Discothèque
20,U2,Breathe
21,U2,11 O’clock Tick Tock
22,U2,Ultra Violet (Light My Way)
23,U2,The Unforgettable Fire
24,U2,Vertigo
25,U2,All I Want Is You
26,U2,"Stay (Faraway, So Close!)"
27,U2,Mofo
28,U2,A Sort of Homecoming
29,U2,Bullet the Blue Sky
30,U2,Out of Control
31,U2,Running to Stand Still
32,U2,Gloria
33,U2,Walk On
34,U2,Zooropa
35,U2,Mysterious Ways
36,U2,Please
37,U2,Every Breaking Wave
38,U2,Pride (In the Name of Love)
39,U2,New Year’s Day
40,U2,Even Better Than the Real Thing
41,U2,I Will Follow
42,U2,Moment of Surrender
43,U2,With or Without You
44,U2,Where the Streets Have No Name
45,U2,Bad
46,U2,Sunday Bloody Sunday
47,U2,Beautiful Day
48,U2,I Still Haven’t Found What I’m Looking For
49,U2,One
0,L’Trimm, “Cars With the Boom”
1,Lil Jon and the East Side Boyz feat. Ying Yang Twins, “Get Low”
2,M.I.A., “Paper Planes”
3,Jay Z and Alicia Keys, “Empire State of Mind”
4,Brand Nubian, “Slow Down”
5,Bone Thugs-N-Harmony, “Tha Crossroads”
6,Missy ‘Misdemeanor’ Elliott, “The Rain (Supa Dupa Fly)”
7,Souls of Mischief, “93 ’til Infinity”
8,B.G. feat. Big Tymers and Hot Boys, “Bling Bling”
9,Rick Ross feat. Styles P, “B.M.F. (Blowin’ Money Fast)”
10,Biz Markie, “Just a Friend”
11,UGK feat. Outkast, “Int’l Players Anthem (I Choose You)”
12,MC Shan, “The Bridge”
13,Digital Underground, “The Humpty Dance”
14,Jermaine Dupri feat. Jay Z, “Money Ain’t a Thang”
15,Roxanne Shanté, “Roxanne’s Revenge”
16,U.T.F.O., “Roxanne
17,Too $hort, “Freaky Tales”
18,Raekwon feat. Ghostface Killah, Method Man
19,Nas, “It Ain’t Hard to Tell”
20,Naughty by Nature, “O.P.P.”
21,Rammellzee and K-Rob, “Beat Bop”
22,Ultramagnetic MC’s, “Ego Trippin'”
23,A Tribe Called Quest, “Can I Kick It?”
24,Slick Rick, “Children’s Story”
25,M.O.P., “Ante Up (Robbing-Hoodz Theory)”
26,Gang Starr, “Mass Appeal”
27,Outkast, “Ms. Jackson”
28,Wu-Tang Clan, “Protect Ya Neck”
29,Jay Z and Kanye West, “Ni**as in Paris”
30,Ol’ Dirty Bastard, “Brooklyn Zoo”
31,Kanye West feat. Jay Z, Rick Ross
32,Dead Prez, “Hip-Hop”
33,T.I., “What You Know”
34,Ice T, “6 ‘n the Mornin'”
35,Lil Wayne, “A Milli”
36,Sir Mix-A-Lot, “Baby Got Back”
37,Black Sheep, “The Choice Is Yours (Revisited)”
38,Cypress Hill, “How I Could Just Kill a Man”
39,Dr. Dre feat. Snoop Doggy Dogg, “Deep Cover”
40,Beastie Boys, “Hold It
41,Doug E. Fresh and the Get Fresh Crew, “The Show”
42,Eminem feat. Dido, “Stan”
43,The Pharcyde, “Passin’ Me By”
44,Clipse, “Grindin”
45,Grandmaster and Melle Mel, “White Lines (Don’t Don’t Do It)”
46,Snoop Doggy Dogg, “Gin and Juice”
47,Run-DMC, “King of Rock”
48,The Notorious B.I.G., “Big Poppa”
49,Public Enemy, “Bring the Noise”
0,Van Morrison, “Going Down to Bangor”
1,Nicki Minaj, “Black Barbies”
2,Sturgill Simpson, “Keep It Between the Lines”
3,D.R.A.M. feat. Lil Yachty, “Broccoli”
4,Helado Negro, “Runaround”
5,Car Seat Headrest, “Drunk Drivers/Killer Whales”
6,Desiigner, “Tiimmy Turner”
7,Free Cake for Every Creature, “All You Gotta Be When You’re 23 Is Yourself”
8,Bob Mould, “Voices in My Head”
9,Yohuna, “The Moon Hangs in the Sky Like Nothing Hangs in the Sky”
10,Lil Uzi Vert, “Original Uzi (4 of Us)”
11,Paul Simon, “Cool Papa Bell”
12,Maren Morris, “80s Mercedes”
13,Tacocat, “Night Swimming”
14,Drive-By Truckers, “Ever South”
15,Japanese Breakfast, “Everybody Wants to Love You”
16,Britney Spears, “Clumsy”
17,Mitski, “Your Best American Girl”
18,Kodak Black, “Everything 1K”
19,Miranda Lambert, “Vice”
20,A Tribe Called Quest, “The Space Program”
21,Cobalt, “Beast Whip”
22,Lady Gaga, “Perfect Illusion”
23,Angel Olsen, “Sister”
24,Vince Staples, “War Ready”
25,Leonard Cohen, “Treaty”
26,Courtney Barnett, “Three Packs a Day”
27,Little Big Town, “Better Man”
28,Ariana Grande feat. Nicki Minaj, “Side to Side”
29,21 Savage & Metro Boomin feat. Future, “X”
30,Bob Dylan, “That Old Black Magic”
31,Danny Brown feat. Kendrick Lamar, Ab-Soul
32,The Monkees, “Me & Magdalena”
33,Lucy Dacus, “I Don’t Wanna Be Funny Anymore”
34,Chance the Rapper feat. Saba, “Angels”
35,Kendrick Lamar, “Untitled 05 | 09.21.2014.”
36,Mannequin Pussy, “Romantic”
37,Wilco, “If I Ever Was a Child”
38,Red Hot Chili Peppers, “Dark Necessities”
39,Young M.A, “Ooouuu”
40,Rae Sremmurd feat. Gucci Mane, “Black Beatles”
41,Lvl Up, “Pain”
42,Fifth Harmony feat. Ty Dolla $ign, “Work From Home”
43,Solange, “Cranes in the Sky”
44,Pwr Bttm, “Projection”
45,Kanye West, “Ultralight Beam”
46,David Bowie, “No Plan”
47,Drake feat. Wizkid, Kyla
48,Frank Ocean, “Ivy”
49,Beyoncé, “Formation”
0,Fuzzy, “Flashlight” (1994)
1,Britney Spears, “Sometimes” (1999)
2,The Offspring, “Self Esteem” (1994)
3,Selena, “Fotos y Recuerdos” (1994)
4,Silver Jews, “Random Rules” (1998)
5,Lil Kim With Lil Cease, “Crush on You (Remix)” (1997)
6,Stereolab, “Cybele’s Reverie” (1996)
7,Supergrass, “Alright” (1995)
8,Ace of Base, “The Sign” (1994)
9,Sophie B. Hawkins, “Damn I Wish I Was Your Lover” (1992)
10,Big Pun Feat. Joe, “Still Not a Player” (1998)
11,Sebadoh, “Brand New Love” (1992)
12,Geto Boys, “Mind Playing Tricks on Me” (1991)
13,New Radicals, “You Get What You Give” (1998)
14,Portishead, “Glory Box” (1994)
15,Sheryl Crow, “If It Makes You Happy” (1996)
16,En Vogue, “Don’t Let Go (Love)” (1996)
17,Helium, “XXX” (1994)
18,Foxy Brown With Jay Z, “I’ll Be” (1996)
19,Underworld, “Born Slippy .Nuxx” (1996)
20,Sir Mix-A-Lot, “Baby Got Back” (1992)
21,Fiona Apple, “Paper Bag” (1999)
22,Weezer, “Pink Triangle” (1996)
23,Daft Punk, “Around the World” (1997)
24,Natalie Imbruglia, “Torn” (1998)
25,Harvey Danger, “Flagpole Sitta” (1998)
26,Aaliyah, “Are You That Somebody” (1998)
27,Oasis, “Wonderwall” (1995)
28,Mobb Deep, “Shook Ones Pt. II” (1995)
29,Smashing Pumpkins, “1979” (1995)
30,Beck, “Loser” (1993)
31,Whitney Houston Feat. Faith Evans and Kelly Price, “Heartbreak Hotel” (1998)
32,Garbage, “Queer” (1995)
33,Beastie Boys, “Sure Shot” (1994)
34,Sleater-Kinney, “Get Up” (1999)
35,Outkast, “Rosa Parks” (1998)
36,R.E.M. “Nightswimming” (1992),R.E.M. “Nightswimming” (1992)
37,Ol’ Dirty Bastard, “Brooklyn Zoo” (1995)
38,The Breeders, “Cannonball” (1993)
39,Hole, “Doll Parts” (1994)
40,TLC, “No Scrubs” (1999)
41,Liz Phair, “Fuck and Run” (1993)
42,Pulp, “Common People” (1995)
43,Missy “Misdemeanor” Elliott,  ”The Rain  (Supa Dupa Fly)” (1997)
44,Pavement, “Gold Soundz” (1994)
45,Dr. Dre and Snoop Dogg, “Nuthin’ but a ‘G’ Thang” (1992)
46,Bikini Kill, “Rebel Girl” (1993)
47,Notorious B.I.G. With Mase and Puff Daddy, “Mo Money  Mo Problems” (1997)
48,Blackstreet, “No Diggity” (1996)
49,Nirvana, “Smells Like Teen Spirit” (1991)
50,“Boris the Spider” (‘A Quick One’, 1966)
51,“Relax” (‘The Who Sell Out’, 1967)
52,“Another Tricky Day” (‘Face Dances’, 1981)
53,“Going Mobile” (‘Who’s Next’, 1971)
54,“Overture” (‘Tommy’, 1969)
55,“Bargain” (‘Who’s Next’, 1971)
56,“Trick of the Light” (‘Who Are You’, 1978)
57,“I Can’t Reach You” (‘The Who Sell Out’, 1967)
58,“Let’s See Action” (Non-album single, 1971)
59,“Young Man Blues” (‘Live at Leeds’, 1970)
60,“Heaven and Hell” (Non-album B-side, 1970)
61,“I’m a Boy” (Non-album single, 1966)
62,“Christmas” (‘Tommy’, 1969)
63,“Long Live Rock” (‘Odds and Sods’, 1974)
64,“Slip Kid” (‘The Who by Numbers’, 1975)
65,“The Acid Queen” (‘Tommy’, 1969)
66,“However Much I Booze” (‘The Who by Numbers’, 1975)
67,“Pictures of Lily” (Non-album single, 1967)
68,“You Better You Bet” (‘Face Dances’, 1981)
69,“Who Are You” (‘Who Are You’, 1978)
70,“5:15” (‘Quadrophenia’, 1973)
71,“Pure and Easy” (‘Odds and Sods’, 1974)
72,“Sparks” (‘Tommy’, 1969)
73,“Happy Jack” (Non-album single, 1967)
74,“A Legal Matter” (‘My Generation’, 1965)
75,“How Many Friends” (‘The Who by Numbers’, 1975)
76,“Sunrise” (‘The Who Sell Out’, 1967)
77,“Magic Bus” (Non-album single, 1968)
78,“The Seeker” (Non-album single, 1970)
79,“My Wife” (‘Who’s Next’, 1971)
80,“I’m Free” (‘Tommy’, 1969)
81,“Tattoo” (‘The Who Sell Out’, 1967)
82,“I’m One” (‘Quadrophenia’, 1973)
83,“Blue, 1975)
84,“So Sad About Us” (‘A Quick One’, 1966)
85,“The Real Me” (‘Quadrophenia’, 1973)
86,“The Kids Are Alright” (‘My Generation’, 1965)
87,“Pinball Wizard” (‘Tommy’, 1969)
88,“Behind Blue Eyes” (‘Who’s Next’, 1971)
89,“Substitute” (Non-album single, 1966)
90,“Eminence Front” (‘It’s Hard’, 1982)
91,“We’re Not Gonna Take It/See Me, 2001)
92,“Getting in Tune” (‘Who’s Next’, 1971)
93,“I Can’t Explain” (Non-album single, 1964)
94,“Baba O’Riley” (‘Who’s Next’, 1971)
95,“Love, 1973)
96,“A Quick One,’ 1966)
97,“My Generation” (‘My Generation’, 1965)
98,“I Can See for Miles” (‘The Who Sell Out’, 1967)
99,“Won’t Get Fooled Again” (‘Who’s Next’, 1971)
100,D,)
101,A,)
102,M,)
103,B,)
104,P,)
105,T,)
106,H,)
107,G,)
108,B,)
109,E,)
110,L,)
111,B,)
112,K,)
113,D,)
114,H,)
115,L,)
116,4,)
117,T,)
118,I,)
119,G,)
120,T,)
121,F,)
122,C,)
123,D,)
124,B,)
125,W,)
126,P,)
127,W,)
128,H,)
129,H,)
130,D,)
131,W,)
132,A,)
133,J,)
134,O,)
135,D,)
136,P,)
137,M,)
138,E,)
139,C,)
140,B,)
141,M,)
142,R,)
143,L,)
144,H,)
145,L,)
146,B,)
147,V,)
148,I,)
149,L,)
0,Bob Dylan,Señor (Tales of Yankee Power) (1978)
1,Bob Dylan,John Wesley Harding (1967)
2,Bob Dylan,"Corrina, Corrina (1963)"
3,Bob Dylan,Where Are You Tonight? (Journey Through Dark Heat) (1978)
4,Bob Dylan,"Farewell, Angelina (1991)"
5,Bob Dylan,On a Night Like This (1974)
6,Bob Dylan,Highlands (1997)
7,Bob Dylan,Pay in Blood (2012)
8,Bob Dylan,"Going, Going, Gone (1974)"
9,Bob Dylan,You’re a Big Girl Now (1975)
10,Bob Dylan,The Groom’s Still Waiting at the Altar (1981)
11,Bob Dylan,Changing of the Guards (1978)
12,Bob Dylan,Tombstone Blues (1965)
13,Bob Dylan,Most of the Time (1989)
14,Bob Dylan,Meet Me in the Morning (1975)
15,Bob Dylan,She’s Your Lover Now (1991)
16,Bob Dylan,The Man in Me (1970)
17,Bob Dylan,Nettie Moore (2006)
18,Bob Dylan,One of Us Must Know (Sooner or Later) (1966)
19,Bob Dylan,Series of Dreams (1991)
20,Bob Dylan,Someone’s Got a Hold of My Heart (1991)
21,Bob Dylan,Romance in Durango (1976)
22,Bob Dylan,Absolutely Sweet Marie (1966)
23,Bob Dylan,Tonight I’ll Be Staying Here With You (1969)
24,Bob Dylan,Gates of Eden (1965)
25,Bob Dylan,Sweetheart Like You (1983)
26,Bob Dylan,All I Really Want to Do (1964)
27,Bob Dylan,I’m Not There (2007)
